epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,940.822,1.38729,0.87188,0.67291,0.06073,0.08171,0.01467,0.00597,1.2491,1.48906,0.52661,0.00066129,0.00066129,0.00066129
2,1874.74,1.21727,0.53594,0.53363,0.12482,0.06321,0.02922,0.01567,1.21627,3.82383,0.38785,0.00119649,0.00119649,0.00119649
3,2768.37,1.04677,0.7141,0.41657,0.13817,0.05851,0.03036,0.01217,1.16428,0.97422,0.40118,0.00159969,0.00159969,0.00159969
4,3641.86,0.99706,0.78273,0.39819,0.07672,0.0612,0.02018,0.00979,1.15981,2.26835,0.35473,0.001406,0.001406,0.001406
5,4690.91,0.97835,0.77525,0.36041,0.16546,0.06187,0.02496,0.01134,1.16378,2.07467,0.35173,0.001208,0.001208,0.001208
6,5617.52,0.96157,0.77039,0.35368,0.19448,0.07047,0.04302,0.02177,1.13973,1.88862,0.37346,0.00101,0.00101,0.00101
7,6574.17,0.96822,0.74675,0.35674,0.16119,0.077,0.03506,0.01761,1.13091,1.67621,0.3865,0.000812,0.000812,0.000812
8,7494.77,0.94258,0.75669,0.36099,0.18893,0.08137,0.03973,0.02112,1.17221,1.85696,0.37199,0.000614,0.000614,0.000614
9,8425.64,0.92309,0.7365,0.34892,0.17569,0.08406,0.03374,0.01822,1.1496,2.0072,0.37273,0.000416,0.000416,0.000416
10,9357.3,0.87872,0.76133,0.30139,0.17319,0.08675,0.04165,0.02229,1.11764,2.86626,0.32108,0.000218,0.000218,0.000218
